Zmienna;Typ informacji;Jednostka terytorialna;Rodzaj rynku nieruchomości;Szereg czasowy;Wartość;Flaga
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2023 Q1;105,8;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2023 Q1;107,0;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2023 Q1;104,5;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2023 Q2;107,0;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2023 Q2;110,4;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2023 Q2;104,1;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2023 Q3;109,3;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2023 Q3;109,8;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2023 Q3;108,8;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2023 Q4;113,0;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2023 Q4;114,3;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2023 Q4;111,6;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2022 Q1;113,6;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2022 Q1;113,3;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2022 Q1;113,8;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2022 Q2;112,4;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2022 Q2;110,9;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2022 Q2;113,7;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2022 Q3;112,1;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2022 Q3;112,8;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2022 Q3;111,6;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2022 Q4;109,3;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2022 Q4;110,5;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2022 Q4;108,3;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2021 Q1;107,2;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2021 Q1;106,5;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2021 Q1;107,8;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2021 Q2;108,3;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2021 Q2;108,6;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2021 Q2;108,3;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2021 Q3;108,9;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2021 Q3;109,4;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2021 Q3;108,7;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;Ogółem;2021 Q4;112,1;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;pierwotny rynek nieruchomości;2021 Q4;111,9;(nd)
Wskaźnik cen lokali mieszkalnych;analogiczny okres roku poprzedniego=100 [-];POLSKA;wtórny rynek nieruchomości;2021 Q4;112,2;(nd)
