Kwartał,Miasto,Rodzaj ceny,Wartość w zł
I 2007,Białystok,cena ofertowa,4181
I 2007,Białystok,cena transakcyjna,3500
I 2007,Bydgoszcz,cena ofertowa,4501
I 2007,Bydgoszcz,cena transakcyjna,3017
I 2007,Gdańsk,cena ofertowa,6437
I 2007,Gdańsk,cena transakcyjna,5490
I 2007,Gdynia,cena ofertowa,6466
I 2007,Gdynia,cena transakcyjna,5797
I 2007,Katowice,cena ofertowa,4518.37
I 2007,Katowice,cena transakcyjna,3805.67
I 2007,Kielce,cena ofertowa,3381.718956
I 2007,Kielce,cena transakcyjna,3241.415228
I 2007,Kraków,cena ofertowa,8247
I 2007,Kraków,cena transakcyjna,7192
I 2007,Lublin,cena ofertowa,3604
I 2007,Lublin,cena transakcyjna,3309
I 2007,Łódź,cena ofertowa,4927
I 2007,Łódź,cena transakcyjna,4209
I 2007,Olsztyn,cena ofertowa,5149
I 2007,Olsztyn,cena transakcyjna,2960
I 2007,Opole,cena ofertowa,
I 2007,Opole,cena transakcyjna,
I 2007,Poznań,cena ofertowa,7274.746093
I 2007,Poznań,cena transakcyjna,6444.721994
I 2007,Rzeszów,cena ofertowa,3420
I 2007,Rzeszów,cena transakcyjna,3469
I 2007,Szczecin,cena ofertowa,4749.124321
I 2007,Szczecin,cena transakcyjna,3831.400406
I 2007,Warszawa,cena ofertowa,7509
I 2007,Warszawa,cena transakcyjna,7302
I 2007,Wrocław,cena ofertowa,6308.702547
I 2007,Wrocław,cena transakcyjna,7062.85905
I 2007,Zielona Góra,cena ofertowa,2871.939482
I 2007,Zielona Góra,cena transakcyjna,2499.814669
I 2008,Białystok,cena ofertowa,5128
I 2008,Białystok,cena transakcyjna,5160
I 2008,Bydgoszcz,cena ofertowa,4893
I 2008,Bydgoszcz,cena transakcyjna,4540
I 2008,Gdańsk,cena ofertowa,7210
I 2008,Gdańsk,cena transakcyjna,6473
I 2008,Gdynia,cena ofertowa,7737
I 2008,Gdynia,cena transakcyjna,7301
I 2008,Katowice,cena ofertowa,6257.59
I 2008,Katowice,cena transakcyjna,5791.06
I 2008,Kielce,cena ofertowa,4528.613808
I 2008,Kielce,cena transakcyjna,4407.707105
I 2008,Kraków,cena ofertowa,8084
I 2008,Kraków,cena transakcyjna,8000
I 2008,Lublin,cena ofertowa,5011
I 2008,Lublin,cena transakcyjna,4861
