Warszawa_laczny_rynek,Wrocław_laczny_rynek,rok,Gdańsk_laczny_rynek,Kraków_laczny_rynek,Poznań_laczny_rynek
7794.0,5617.0,2010,5258.0,6282.0,5735.0
7723.0,5758.0,2011,5418.0,6405.0,5859.0
7363.0,5381.0,2012,5330.0,6254.0,5497.0
6927.0,5183.0,2013,5090.0,5959.0,5451.0
7105.0,5206.0,2014,5157.0,6184.0,5581.0
7257.0,5244.0,2015,5282.0,6102.0,5650.0
7346.0,5409.0,2016,5491.0,6180.0,5722.0
7754.0,5674.0,2017,5994.0,6246.0,5897.0
8144.0,5906.0,2018,6656.0,6511.0,6191.0
8723.0,6279.0,2019,7193.0,7002.0,6500.0
9327.0,7055.0,2020,7935.0,8094.0,6895.0
10495.0,8019.0,2021,8836.0,8869.0,7630.0
11705.0,8907.0,2022,9431.0,10087.0,8315.0
10966.666666666666,10216.75,2023,10006.5,11288.25,9096.0
