rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,40.5,wysoki_poziom_jakosci,marzec_2024,587250.0,,,,,,,,,,,,,,,480000.0,,,,,,,,,,,,,,660000.0,
apartamentowiec,49.63,wysoki_poziom_jakosci,marzec_2024,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,60.0,wysoki_poziom_jakosci,marzec_2024,739000.0,,,,,,,,,,,,1168500.0,,,674000.0,,630000.0,,,,,,,,,,1026750.0,,,
apartamentowiec,32.6,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,619400.0,,439997.0,
apartamentowiec,36.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,,
apartamentowiec,36.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,729000.0,,668000.0,
apartamentowiec,38.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,647500.0,,,,,,,,,,,,,,,830000.0,,,
apartamentowiec,39.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,950000.0,,,,,,1051500.0,,,,,,,,,,,,,,,1150000.0,970000.0,720200.0,
apartamentowiec,42.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,929000.0,,650000.0,
apartamentowiec,43.4,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120000.0,,,
apartamentowiec,48.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,700000.0,,804500.0,,,614400.0,,,,,,,,,,,,1078701.6666666667,,849666.6666666666,
apartamentowiec,49.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,820000.0,,,,,,,,,,,,,,,832510.0,,793000.0,
apartamentowiec,50.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,869780.0,,,,,,,,,,,,,,,1157999.8,,630000.0,629000.0
apartamentowiec,55.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,809000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,55.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,592500.0,,,,819000.0,,,,,,,,1064955.4285714286,,672500.0,
apartamentowiec,58.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1284500.0,,,,,,,,,,,,,,,1218000.0,,842500.0,
apartamentowiec,61.0,wysoki_poziom_jakosci,marzec_2024,,,679000.0,,,,,,,,,,1090000.0,,,,,,,,,,,,,,,1100000.0,,852000.0,
apartamentowiec,64.58,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1485340.0,,,,,,,,,,,,,,,,,,
apartamentowiec,82.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315000.0,,,
apartamentowiec,33.0,wysoki_poziom_jakosci,marzec_2024,,,380000.0,,,,,,,,,,659000.0,,,425000.0,,,,,,,,,,,,,,,459900.0
apartamentowiec,34.0,wysoki_poziom_jakosci,marzec_2024,,,394000.0,,,,,,,,,,782000.0,,,,,,,,,,,,,,,,,475000.0,
apartamentowiec,46.8,wysoki_poziom_jakosci,marzec_2024,,,559000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,51.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,780000.0,,,
apartamentowiec,51.0,wysoki_poziom_jakosci,marzec_2024,,,450000.0,,,,,,,,,,1093666.6666666667,,,,,,,,,,,,,,,1289500.0,,715000.0,
apartamentowiec,51.91,wysoki_poziom_jakosci,marzec_2024,,,549000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,60.5,wysoki_poziom_jakosci,marzec_2024,,,679000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,71.72,wysoki_poziom_jakosci,marzec_2024,,,849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,74.15,wysoki_poziom_jakosci,marzec_2024,,,704425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.9,wysoki_poziom_jakosci,marzec_2024,,,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,1678500.0,,,
apartamentowiec,27.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000.0,,,
apartamentowiec,30.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,714990.0,,,325000.0,,,,,,,,,,,,,,,
apartamentowiec,31.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,779999.5,,766250.0,
apartamentowiec,34.5,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000.0,,,
apartamentowiec,35.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,470000.0,,,,,,,,,,,,,,,450000.0,,,,520000.0,
apartamentowiec,37.84,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,451000.0,,,,,,,,,,,,,,,
apartamentowiec,46.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1078666.6666666667,,,,,,,,,,,,,,,999000.0,,,
apartamentowiec,47.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,630000.0,,,535000.0,,,,,,,,,,,,,,,
apartamentowiec,47.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,936250.0,,,,,,,,,,,,,,,1063000.0,,,
apartamentowiec,47.5,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,625000.0,,,,,,,,,,,
apartamentowiec,47.5,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277700.0,,,
apartamentowiec,53.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,579000.0,,,,,,,,,,,,985000.0,,815000.0,
apartamentowiec,53.1,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719000.0,
apartamentowiec,54.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169333.3333333333,,922333.3333333334,
apartamentowiec,56.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,1175000.0,,,,,,,,,,,,,,,,,,,,,883333.3333333334,,822500.0,
apartamentowiec,59.26,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,920000.0,,,
apartamentowiec,63.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1450000.0,,,,,,,,,,,,,,,1137500.0,,803475.0,
apartamentowiec,68.79,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,,,
apartamentowiec,85.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,745000.0,,,,,,,,,,,,,,,
apartamentowiec,85.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1699000.0,,,,,,,1114350.0,,,,,,,,,,,
apartamentowiec,87.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,
apartamentowiec,90.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,
apartamentowiec,90.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,1997000.0,,,,,,,,,,,,,,,,,,,2500000.0,,,
apartamentowiec,94.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0,,1200000.0,922500.0
apartamentowiec,40.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,586000.0,,862000.0,,782000.0,
apartamentowiec,52.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,52.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,713000.0,,,,,,,,,,,,,,,1006000.0,870000.0,,702000.0
apartamentowiec,57.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,600000.0,,,,,,535000.0,,,,,,1195000.0,,,
apartamentowiec,75.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1389999.3333333333,,,750000.0,,,,,,,,,,,890000.0,1498250.0,,,
apartamentowiec,83.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660000.0,910000.0,,
apartamentowiec,83.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,1328000.0,1660000.0,,
apartamentowiec,96.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,2293000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,74.46,wysoki_poziom_jakosci,marzec_2024,,,,,795000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,81.0,wysoki_poziom_jakosci,marzec_2024,,,,,760000.0,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,
apartamentowiec,26.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,639000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,30.7,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719997.0,
apartamentowiec,37.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562500.0,
apartamentowiec,37.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,855000.0,,,342000.0,,,,,,,,,,,,650000.0,,580000.0,
apartamentowiec,37.2,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,795000.0,,,
apartamentowiec,37.9,wysoki_poziom_jakosci,marzec_2024,,,,,,,979000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,38.5,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729000.0,,
apartamentowiec,41.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,781000.0,,,539000.0,,,,,,,,,,,,850000.0,,729000.0,
apartamentowiec,43.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,630000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,43.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,995000.0,,,,,,,,,,,,,,,1012500.0,,,
apartamentowiec,44.5,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,,
apartamentowiec,45.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,1339000.0,,,,,,760500.0,,,,,,,,,,,,,,529000.0,1070666.6666666667,,,
apartamentowiec,51.5,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249000.0,,,
apartamentowiec,54.7,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,620000.0,,,,,,,,,,,875000.0,,,
apartamentowiec,65.3,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730000.0,
apartamentowiec,74.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1125000.0,,,920000.0,,,,,,,,,,,,1516666.6666666667,,1465000.0,
apartamentowiec,43.19,wysoki_poziom_jakosci,marzec_2024,,,,,,,998000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,48.3,wysoki_poziom_jakosci,marzec_2024,,,,,,,1099000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,48.98,wysoki_poziom_jakosci,marzec_2024,,,,,,,625000.0,,,,,,,,,,,,,,,,,,,,,1334000.0,,,
apartamentowiec,52.06,wysoki_poziom_jakosci,marzec_2024,,,,,,,1039000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,55.91,wysoki_poziom_jakosci,marzec_2024,,,,,,,995000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,56.28,wysoki_poziom_jakosci,marzec_2024,,,,,,,870000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,59.6,wysoki_poziom_jakosci,marzec_2024,,,,,,,830000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,60.6,wysoki_poziom_jakosci,marzec_2024,,,,,,,1790730.0,,,,,,,,,620000.0,,,,,,,,,,,,,,,
apartamentowiec,62.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1425000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,62.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,970000.0,,,,,,1355600.0,,,,,,,,,,,,,,,,,1390000.0,
apartamentowiec,65.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,1019000.0,,,,,,,,,,,,,,,,,,,,,1155000.0,,1049498.5,
apartamentowiec,65.09,wysoki_poziom_jakosci,marzec_2024,,,,,,,1210000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,67.1,wysoki_poziom_jakosci,marzec_2024,,,,,,,1199000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,68.65,wysoki_poziom_jakosci,marzec_2024,,,,,,,1750000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,75.83,wysoki_poziom_jakosci,marzec_2024,,,,,,,1430000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,76.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,985000.0,,,,,,,,,,,,,,,,,,,,,,,889000.0,839999.0
apartamentowiec,76.1,wysoki_poziom_jakosci,marzec_2024,,,,,,,1199900.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,77.03,wysoki_poziom_jakosci,marzec_2024,,,,,,,1490000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.64,wysoki_poziom_jakosci,marzec_2024,,,,,,,2168000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,79.37,wysoki_poziom_jakosci,marzec_2024,,,,,,,1530000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,84.82,wysoki_poziom_jakosci,marzec_2024,,,,,,,1379000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,94.83,wysoki_poziom_jakosci,marzec_2024,,,,,,,1830000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,110.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,1099990.0,,,,,,,,,,,,,,,,,,,,,1850000.0,,,
apartamentowiec,44.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,1161100.0,,,,,,,,,,,,,699000.0,,998000.0,,,
