rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,34.0,wysoki_poziom_jakosci,kwiecien_2024,495000.0,,394000.0,,,,,,,,,,710000.0,710000.0,,,,,,,,,,,,,608000.0,,475000.0,
apartamentowiec,40.5,wysoki_poziom_jakosci,kwiecien_2024,587250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,714750.0,
apartamentowiec,43.5,wysoki_poziom_jakosci,kwiecien_2024,659000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,49.63,wysoki_poziom_jakosci,kwiecien_2024,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,51.7,wysoki_poziom_jakosci,kwiecien_2024,666930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,56.0,wysoki_poziom_jakosci,kwiecien_2024,709000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1023466.6666666666,,989666.6666666666,
apartamentowiec,60.6,wysoki_poziom_jakosci,kwiecien_2024,609000.0,,,,,,1790730.0,,,,,,,,,,,,,,,,,,,,,,830000.0,
apartamentowiec,83.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1660000.0,,,
apartamentowiec,83.0,wysoki_poziom_jakosci,kwiecien_2024,850000.0,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,1320000.0,1660000.0,,
apartamentowiec,32.6,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,619400.0,,439997.0,
apartamentowiec,33.5,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,699999.0,,,,,,,,,,,,,,670000.0,,,
apartamentowiec,35.2,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,625000.0,,,
apartamentowiec,36.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,680000.0,,,,,,,,,,,,,,729000.0,,693000.0,
