rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,radom_udział,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,42.0,wysoki_poziom_jakosci,listopad_2023,469000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,864000.0,,,
apartamentowiec,49.63,wysoki_poziom_jakosci,listopad_2023,486000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,50.0,wysoki_poziom_jakosci,listopad_2023,625000.0,,,,,,1250000.0,,,,,,1079666.6666666667,,,,,,,,,,,,,,,,937300.0,,610000.0,
apartamentowiec,55.48,wysoki_poziom_jakosci,listopad_2023,635000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,66.09,wysoki_poziom_jakosci,listopad_2023,749000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,67.55,wysoki_poziom_jakosci,listopad_2023,698000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,36.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,,
apartamentowiec,36.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856000.0,,,
apartamentowiec,39.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,410000.0,,,,,,,,,,,,,720000.0,,,
apartamentowiec,46.09,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,,
apartamentowiec,47.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,512300.0,,,,,,,,,,,,
apartamentowiec,47.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,854750.0,,,,,,,520000.0,,,,,,,,,1053980.0,,,
apartamentowiec,48.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,691500.0,
