rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_spółdzielnia,czestochowa_wlasnosc_prywatna,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia,krakow_udział,radom_udział
apartamentowiec,41.62,wysoki_poziom_jakosci,sierpien_2023,530000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,49.63,wysoki_poziom_jakosci,sierpien_2023,486000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,50.0,wysoki_poziom_jakosci,sierpien_2023,575000.0,,,,,,1250000.0,,680000.0,,,,849500.0,,,,,,,,,,,,,,835571.4285714285,,570000.0,,,
apartamentowiec,61.5,wysoki_poziom_jakosci,sierpien_2023,539000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,64.64,wysoki_poziom_jakosci,sierpien_2023,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,66.09,wysoki_poziom_jakosci,sierpien_2023,749000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,80.52,wysoki_poziom_jakosci,sierpien_2023,750000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,32.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,469000.0,,,,,,,,,,,,,,529000.0,,,,,
apartamentowiec,36.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,640000.0,,,,,
apartamentowiec,36.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,832333.3333333334,,,,,
apartamentowiec,39.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,517902.0,,,,,,650000.0,,,
apartamentowiec,41.7,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,570000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,44.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,430000.0,,,,,,,,,,,,,,,,,
apartamentowiec,44.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,747000.0,,,,,,,,,,,,,,,,,,499000.0,,675000.0,,729000.0,,,
apartamentowiec,45.0,wysoki_poziom_jakosci,sierpien_2023,,,520000.0,,,,,,,,,,770000.0,,,,,,,,,,,,,,705000.0,,479000.0,,,
apartamentowiec,46.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,667000.0,,,,,,,,,,,,,,991333.3333333334,,,,,
apartamentowiec,47.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,589000.0,,,,,,,,,,,,,,1160750.0,,520000.0,,,
apartamentowiec,48.1,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,673400.0,,,,,,,,,,,,,,719000.0,,,,,
apartamentowiec,52.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1050000.0,,,,,
apartamentowiec,52.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,729000.0,,,,,,,,,,,,,,868500.0,,557000.0,,,
apartamentowiec,54.0,wysoki_poziom_jakosci,sierpien_2023,,,530000.0,,,,,,,,,,,,,,,,,,,,,,,,881000.0,,619000.0,,,
