miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,blok_mieszkań,91.0,4.0,1932.0,wlasnosc_prywatna,wysoki_poziom_jakosci,512000,kwiecien_2024
szczecin,,53.8,2.0,,spółdzielnia,,400000,kwiecien_2024
szczecin,kamienica,130.0,4.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,975000,kwiecien_2024
szczecin,blok_mieszkań,68.61,3.0,1997.0,wlasnosc_prywatna,,599000,kwiecien_2024
szczecin,blok_mieszkań,80.0,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,999999,kwiecien_2024
szczecin,apartamentowiec,69.5,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,777000,kwiecien_2024
szczecin,blok_mieszkań,69.0,3.0,1986.0,wlasnosc_prywatna,nizki_poziom_jakosci,650000,kwiecien_2024
szczecin,blok_mieszkań,33.31,1.0,1963.0,spółdzielnia,,390000,kwiecien_2024
szczecin,apartamentowiec,74.02,3.0,2012.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799000,kwiecien_2024
szczecin,blok_mieszkań,54.61,2.0,1995.0,spółdzielnia,nizki_poziom_jakosci,480000,kwiecien_2024
szczecin,blok_mieszkań,63.56,4.0,1976.0,spółdzielnia,,540000,kwiecien_2024
szczecin,apartamentowiec,66.78,4.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,749000,kwiecien_2024
szczecin,blok_mieszkań,56.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,590000,kwiecien_2024
szczecin,kamienica,61.48,2.0,1900.0,wlasnosc_prywatna,wysoki_poziom_jakosci,359000,kwiecien_2024
szczecin,kamienica,77.71,3.0,1925.0,wlasnosc_prywatna,nizki_poziom_jakosci,599000,kwiecien_2024
szczecin,blok_mieszkań,55.8,3.0,,wlasnosc_prywatna,,363200,kwiecien_2024
szczecin,blok_mieszkań,31.3,1.0,1970.0,spółdzielnia,wysoki_poziom_jakosci,344000,kwiecien_2024
szczecin,apartamentowiec,65.33,3.0,2012.0,wlasnosc_prywatna,wysoki_poziom_jakosci,750000,kwiecien_2024
szczecin,blok_mieszkań,63.0,4.0,1977.0,wlasnosc_prywatna,wysoki_poziom_jakosci,660000,kwiecien_2024
szczecin,blok_mieszkań,51.0,3.0,1980.0,wlasnosc_prywatna,nizki_poziom_jakosci,379000,kwiecien_2024
szczecin,blok_mieszkań,87.0,4.0,2008.0,wlasnosc_prywatna,,740000,kwiecien_2024
szczecin,blok_mieszkań,45.5,3.0,1970.0,spółdzielnia,wysoki_poziom_jakosci,549000,kwiecien_2024
szczecin,blok_mieszkań,63.23,3.0,1992.0,spółdzielnia,,535000,kwiecien_2024
szczecin,blok_mieszkań,54.0,3.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,749000,kwiecien_2024
szczecin,kamienica,114.08,5.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799000,kwiecien_2024
szczecin,kamienica,60.73,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,449000,kwiecien_2024
szczecin,kamienica,132.21,6.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,795000,kwiecien_2024
szczecin,kamienica,25.08,1.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,340000,kwiecien_2024
szczecin,blok_mieszkań,53.18,3.0,1980.0,wlasnosc_prywatna,wysoki_poziom_jakosci,499000,kwiecien_2024
szczecin,apartamentowiec,59.24,3.0,2023.0,wlasnosc_prywatna,wysoki_poziom_jakosci,650000,kwiecien_2024
szczecin,blok_mieszkań,51.77,3.0,1967.0,spółdzielnia,nizki_poziom_jakosci,419000,kwiecien_2024
szczecin,kamienica,53.91,2.0,1932.0,wlasnosc_prywatna,,329000,kwiecien_2024
szczecin,blok_mieszkań,68.94,3.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,560000,kwiecien_2024
szczecin,kamienica,69.57,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,556560,kwiecien_2024
szczecin,,63.0,3.0,,wlasnosc_prywatna,,470000,kwiecien_2024
szczecin,blok_mieszkań,45.06,2.0,2004.0,wlasnosc_prywatna,nizki_poziom_jakosci,500000,kwiecien_2024
szczecin,,37.0,2.0,,wlasnosc_prywatna,,444000,kwiecien_2024
szczecin,blok_mieszkań,49.0,2.0,2005.0,wlasnosc_prywatna,,449000,kwiecien_2024
szczecin,blok_mieszkań,47.33,2.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,539000,kwiecien_2024
szczecin,apartamentowiec,29.0,1.0,2021.0,wlasnosc_prywatna,wysoki_poziom_jakosci,392370,kwiecien_2024
szczecin,kamienica,26.51,1.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,339000,kwiecien_2024
szczecin,blok_mieszkań,26.29,1.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,369000,kwiecien_2024
szczecin,apartamentowiec,38.53,2.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,594000,kwiecien_2024
szczecin,blok_mieszkań,63.84,3.0,1991.0,spółdzielnia,,640000,kwiecien_2024
szczecin,blok_mieszkań,41.96,2.0,2023.0,wlasnosc_prywatna,,490000,kwiecien_2024
szczecin,blok_mieszkań,61.0,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799000,kwiecien_2024
szczecin,blok_mieszkań,82.0,4.0,2001.0,wlasnosc_prywatna,,729900,kwiecien_2024
szczecin,blok_mieszkań,45.97,2.0,1970.0,wlasnosc_prywatna,wysoki_poziom_jakosci,499000,kwiecien_2024
szczecin,kamienica,81.63,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,780000,kwiecien_2024
szczecin,blok_mieszkań,57.4,3.0,1970.0,wlasnosc_prywatna,wysoki_poziom_jakosci,539000,kwiecien_2024
szczecin,kamienica,51.0,2.0,1940.0,wlasnosc_prywatna,wysoki_poziom_jakosci,600000,kwiecien_2024
szczecin,blok_mieszkań,87.0,4.0,2022.0,wlasnosc_prywatna,wysoki_poziom_jakosci,1035000,kwiecien_2024
szczecin,kamienica,59.8,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,689000,kwiecien_2024
szczecin,apartamentowiec,86.45,4.0,2023.0,wlasnosc_prywatna,,819000,kwiecien_2024
szczecin,kamienica,49.7,2.0,1950.0,wlasnosc_prywatna,wysoki_poziom_jakosci,460000,kwiecien_2024
szczecin,kamienica,104.0,4.0,1930.0,wlasnosc_prywatna,,720000,kwiecien_2024
szczecin,,77.86,4.0,1991.0,wlasnosc_prywatna,nizki_poziom_jakosci,560000,kwiecien_2024
szczecin,blok_mieszkań,59.6,2.0,2001.0,spółdzielnia,,599000,kwiecien_2024
szczecin,,43.68,2.0,1950.0,wlasnosc_prywatna,,399000,kwiecien_2024
szczecin,blok_mieszkań,66.7,2.0,1989.0,wlasnosc_prywatna,wysoki_poziom_jakosci,665000,kwiecien_2024
