miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,blok_mieszkań,63.0,3.0,1980.0,wlasnosc_prywatna,,415000,sierpien_2023
szczecin,blok_mieszkań,36.0,2.0,,spółdzielnia,,395995,sierpien_2023
szczecin,kamienica,73.02,3.0,,wlasnosc_prywatna,,565000,sierpien_2023
szczecin,kamienica,87.6,3.0,,wlasnosc_prywatna,,640000,sierpien_2023
szczecin,blok_mieszkań,66.0,3.0,,wlasnosc_prywatna,,759000,sierpien_2023
szczecin,blok_mieszkań,63.3,3.0,1997.0,spółdzielnia,,499000,sierpien_2023
szczecin,blok_mieszkań,47.45,2.0,1974.0,wlasnosc_prywatna,nizki_poziom_jakosci,370000,sierpien_2023
szczecin,apartamentowiec,60.08,2.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,629000,sierpien_2023
szczecin,blok_mieszkań,47.76,2.0,1980.0,wlasnosc_prywatna,,399000,sierpien_2023
szczecin,kamienica,72.09,4.0,1890.0,wlasnosc_prywatna,nizki_poziom_jakosci,325000,sierpien_2023
szczecin,kamienica,78.71,4.0,1930.0,wlasnosc_prywatna,,549000,sierpien_2023
szczecin,blok_mieszkań,63.9,3.0,2000.0,spółdzielnia,,545000,sierpien_2023
szczecin,kamienica,93.82,3.0,1905.0,wlasnosc_prywatna,nizki_poziom_jakosci,599000,sierpien_2023
szczecin,kamienica,95.78,4.0,1945.0,wlasnosc_prywatna,wysoki_poziom_jakosci,649000,sierpien_2023
szczecin,kamienica,26.79,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,280000,sierpien_2023
szczecin,kamienica,125.72,5.0,1936.0,wlasnosc_prywatna,,750000,sierpien_2023
szczecin,blok_mieszkań,33.86,2.0,1970.0,spółdzielnia,,319000,sierpien_2023
szczecin,blok_mieszkań,44.96,2.0,,spółdzielnia,,370000,sierpien_2023
szczecin,blok_mieszkań,50.31,3.0,1970.0,wlasnosc_prywatna,wysoki_poziom_jakosci,410000,sierpien_2023
szczecin,,68.2,3.0,,wlasnosc_prywatna,,605000,sierpien_2023
szczecin,blok_mieszkań,47.1,2.0,1981.0,spółdzielnia,wysoki_poziom_jakosci,420000,sierpien_2023
szczecin,blok_mieszkań,52.68,2.0,1999.0,wlasnosc_prywatna,,470000,sierpien_2023
szczecin,blok_mieszkań,48.97,2.0,1987.0,wlasnosc_prywatna,,380000,sierpien_2023
szczecin,kamienica,33.32,2.0,1920.0,wlasnosc_prywatna,,329000,sierpien_2023
szczecin,blok_mieszkań,46.6,2.0,1970.0,spółdzielnia,wysoki_poziom_jakosci,399000,sierpien_2023
szczecin,blok_mieszkań,69.86,3.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,835000,sierpien_2023
szczecin,,45.8,2.0,,wlasnosc_prywatna,,542500,sierpien_2023
szczecin,blok_mieszkań,56.52,3.0,1975.0,wlasnosc_prywatna,,480000,sierpien_2023
szczecin,apartamentowiec,85.0,4.0,2022.0,wlasnosc_prywatna,,950000,sierpien_2023
szczecin,blok_mieszkań,58.63,3.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,615615,sierpien_2023
szczecin,blok_mieszkań,44.6,2.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,475000,sierpien_2023
szczecin,kamienica,89.57,4.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,810000,sierpien_2023
szczecin,,58.89,3.0,,spółdzielnia,,450000,sierpien_2023
szczecin,kamienica,75.39,4.0,1930.0,wlasnosc_prywatna,,459000,sierpien_2023
szczecin,blok_mieszkań,32.0,1.0,1974.0,spółdzielnia,nizki_poziom_jakosci,260000,sierpien_2023
szczecin,,58.6,2.0,,spółdzielnia,,479000,sierpien_2023
szczecin,blok_mieszkań,60.2,4.0,1970.0,spółdzielnia,,479000,sierpien_2023
szczecin,,123.0,4.0,1992.0,spółdzielnia,,799000,sierpien_2023
szczecin,blok_mieszkań,92.32,3.0,1920.0,wlasnosc_prywatna,,489000,sierpien_2023
szczecin,blok_mieszkań,55.68,2.0,2015.0,wlasnosc_prywatna,wysoki_poziom_jakosci,580000,sierpien_2023
szczecin,kamienica,129.3,5.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,899000,sierpien_2023
szczecin,kamienica,78.6,3.0,1929.0,wlasnosc_prywatna,wysoki_poziom_jakosci,440000,sierpien_2023
szczecin,blok_mieszkań,61.7,3.0,1975.0,spółdzielnia,,499000,sierpien_2023
szczecin,kamienica,73.34,3.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,600000,sierpien_2023
szczecin,blok_mieszkań,79.82,3.0,2010.0,wlasnosc_prywatna,wysoki_poziom_jakosci,820000,sierpien_2023
szczecin,kamienica,94.0,5.0,1950.0,wlasnosc_prywatna,,560000,sierpien_2023
szczecin,blok_mieszkań,79.59,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,860000,sierpien_2023
szczecin,kamienica,30.0,1.0,1970.0,wlasnosc_prywatna,,275000,sierpien_2023
szczecin,,47.33,2.0,1920.0,wlasnosc_prywatna,,345000,sierpien_2023
szczecin,kamienica,52.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,499000,sierpien_2023
szczecin,blok_mieszkań,72.93,3.0,1990.0,spółdzielnia,nizki_poziom_jakosci,555000,sierpien_2023
szczecin,blok_mieszkań,38.66,2.0,1990.0,wlasnosc_prywatna,wysoki_poziom_jakosci,275000,sierpien_2023
szczecin,kamienica,44.74,3.0,1935.0,wlasnosc_prywatna,nizki_poziom_jakosci,332000,sierpien_2023
