miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,apartamentowiec,105.0,4.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,1199999,grudzien_2023
szczecin,blok_mieszkań,94.4,4.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,1150000,grudzien_2023
szczecin,,48.29,2.0,2014.0,wlasnosc_prywatna,,625000,grudzien_2023
szczecin,blok_mieszkań,68.61,3.0,1997.0,wlasnosc_prywatna,,550000,grudzien_2023
szczecin,kamienica,35.92,2.0,,wlasnosc_prywatna,nizki_poziom_jakosci,299000,grudzien_2023
szczecin,blok_mieszkań,81.0,4.0,1989.0,spółdzielnia,wysoki_poziom_jakosci,729000,grudzien_2023
szczecin,blok_mieszkań,42.0,2.0,,wlasnosc_prywatna,,584999,grudzien_2023
szczecin,kamienica,89.8,3.0,1930.0,wlasnosc_prywatna,,649000,grudzien_2023
szczecin,,58.6,2.0,,spółdzielnia,,459000,grudzien_2023
szczecin,blok_mieszkań,55.04,3.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,649000,grudzien_2023
szczecin,blok_mieszkań,75.77,3.0,1895.0,wlasnosc_prywatna,wysoki_poziom_jakosci,499000,grudzien_2023
szczecin,kamienica,43.32,2.0,1930.0,wlasnosc_prywatna,,330000,grudzien_2023
szczecin,blok_mieszkań,63.56,4.0,1980.0,wlasnosc_prywatna,,519000,grudzien_2023
szczecin,blok_mieszkań,68.94,3.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,560000,grudzien_2023
szczecin,blok_mieszkań,53.26,2.0,1985.0,spółdzielnia,,514000,grudzien_2023
szczecin,blok_mieszkań,50.2,2.0,1994.0,spółdzielnia,nizki_poziom_jakosci,455000,grudzien_2023
szczecin,kamienica,58.11,3.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,395000,grudzien_2023
szczecin,kamienica,81.64,3.0,1900.0,wlasnosc_prywatna,nizki_poziom_jakosci,465000,grudzien_2023
szczecin,blok_mieszkań,70.0,4.0,2019.0,wlasnosc_prywatna,,639000,grudzien_2023
szczecin,blok_mieszkań,70.55,4.0,1987.0,wlasnosc_prywatna,,515000,grudzien_2023
szczecin,,29.0,1.0,,wlasnosc_prywatna,,329000,grudzien_2023
szczecin,blok_mieszkań,56.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,590000,grudzien_2023
szczecin,blok_mieszkań,56.58,2.0,2019.0,wlasnosc_prywatna,wysoki_poziom_jakosci,580000,grudzien_2023
szczecin,kamienica,90.96,5.0,1930.0,wlasnosc_prywatna,,615000,grudzien_2023
szczecin,blok_mieszkań,49.0,2.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,444000,grudzien_2023
szczecin,,129.0,5.0,2007.0,wlasnosc_prywatna,,799000,grudzien_2023
szczecin,blok_mieszkań,48.67,2.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,574000,grudzien_2023
szczecin,blok_mieszkań,50.0,2.0,1940.0,spółdzielnia,wysoki_poziom_jakosci,520000,grudzien_2023
szczecin,kamienica,61.48,2.0,1900.0,wlasnosc_prywatna,wysoki_poziom_jakosci,390000,grudzien_2023
szczecin,kamienica,87.6,3.0,,wlasnosc_prywatna,,640000,grudzien_2023
szczecin,kamienica,77.71,3.0,1925.0,wlasnosc_prywatna,nizki_poziom_jakosci,599000,grudzien_2023
szczecin,kamienica,95.78,4.0,1945.0,wlasnosc_prywatna,wysoki_poziom_jakosci,649000,grudzien_2023
szczecin,blok_mieszkań,79.59,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,839000,grudzien_2023
szczecin,,53.8,2.0,,spółdzielnia,,420000,grudzien_2023
