miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,apartamentowiec,105.0,4.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,1199999,styczen_2024
szczecin,kamienica,73.02,3.0,,wlasnosc_prywatna,,650000,styczen_2024
szczecin,blok_mieszkań,68.61,3.0,1997.0,wlasnosc_prywatna,,590000,styczen_2024
szczecin,blok_mieszkań,42.0,2.0,,wlasnosc_prywatna,,584999,styczen_2024
szczecin,blok_mieszkań,45.5,2.0,1960.0,wlasnosc_prywatna,nizki_poziom_jakosci,363000,styczen_2024
szczecin,kamienica,80.61,3.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,717000,styczen_2024
szczecin,blok_mieszkań,70.3,3.0,1988.0,spółdzielnia,wysoki_poziom_jakosci,689000,styczen_2024
szczecin,apartamentowiec,67.37,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,790000,styczen_2024
szczecin,blok_mieszkań,68.94,3.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,560000,styczen_2024
szczecin,blok_mieszkań,56.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,590000,styczen_2024
szczecin,kamienica,61.48,2.0,1900.0,wlasnosc_prywatna,wysoki_poziom_jakosci,390000,styczen_2024
szczecin,kamienica,77.71,3.0,1925.0,wlasnosc_prywatna,nizki_poziom_jakosci,599000,styczen_2024
szczecin,apartamentowiec,63.0,3.0,2019.0,wlasnosc_prywatna,wysoki_poziom_jakosci,729000,styczen_2024
szczecin,blok_mieszkań,53.67,2.0,2012.0,wlasnosc_prywatna,wysoki_poziom_jakosci,620000,styczen_2024
szczecin,apartamentowiec,59.2,3.0,2006.0,wlasnosc_prywatna,wysoki_poziom_jakosci,679000,styczen_2024
szczecin,kamienica,81.5,3.0,1920.0,wlasnosc_prywatna,nizki_poziom_jakosci,435000,styczen_2024
szczecin,blok_mieszkań,56.58,2.0,2019.0,wlasnosc_prywatna,wysoki_poziom_jakosci,580000,styczen_2024
szczecin,blok_mieszkań,63.71,3.0,1990.0,wlasnosc_prywatna,,549000,styczen_2024
szczecin,blok_mieszkań,91.0,4.0,1932.0,wlasnosc_prywatna,wysoki_poziom_jakosci,512000,styczen_2024
szczecin,blok_mieszkań,53.26,2.0,1985.0,spółdzielnia,,514000,styczen_2024
szczecin,kamienica,26.79,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,430000,styczen_2024
szczecin,blok_mieszkań,33.6,2.0,1975.0,wlasnosc_prywatna,,363000,styczen_2024
szczecin,blok_mieszkań,109.4,5.0,2000.0,wlasnosc_prywatna,,798000,styczen_2024
szczecin,kamienica,81.64,3.0,1900.0,wlasnosc_prywatna,nizki_poziom_jakosci,465000,styczen_2024
szczecin,kamienica,80.49,4.0,1920.0,wlasnosc_prywatna,nizki_poziom_jakosci,426000,styczen_2024
szczecin,,29.0,1.0,,wlasnosc_prywatna,,329000,styczen_2024
szczecin,kamienica,94.41,3.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,750000,styczen_2024
szczecin,kamienica,43.32,2.0,1930.0,wlasnosc_prywatna,,330000,styczen_2024
szczecin,kamienica,90.96,5.0,1930.0,wlasnosc_prywatna,,615000,styczen_2024
szczecin,blok_mieszkań,83.98,4.0,2002.0,wlasnosc_prywatna,wysoki_poziom_jakosci,529000,styczen_2024
szczecin,blok_mieszkań,48.67,2.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,574000,styczen_2024
szczecin,kamienica,95.78,4.0,1945.0,wlasnosc_prywatna,wysoki_poziom_jakosci,649000,styczen_2024
szczecin,blok_mieszkań,79.59,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,839000,styczen_2024
szczecin,,53.8,2.0,,spółdzielnia,,420000,styczen_2024
szczecin,kamienica,89.57,4.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,810000,styczen_2024
szczecin,,58.6,2.0,,spółdzielnia,,459000,styczen_2024
