miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,apartamentowiec,105.0,4.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,1199999,marzec_2024
szczecin,,53.8,2.0,,spółdzielnia,,420000,marzec_2024
szczecin,blok_mieszkań,90.0,4.0,2024.0,wlasnosc_prywatna,,499000,marzec_2024
szczecin,apartamentowiec,48.77,2.0,2019.0,wlasnosc_prywatna,wysoki_poziom_jakosci,639000,marzec_2024
szczecin,blok_mieszkań,72.9,4.0,1989.0,wlasnosc_prywatna,nizki_poziom_jakosci,639000,marzec_2024
szczecin,blok_mieszkań,58.0,3.0,2006.0,wlasnosc_prywatna,wysoki_poziom_jakosci,679000,marzec_2024
szczecin,apartamentowiec,75.0,3.0,1999.0,spółdzielnia,wysoki_poziom_jakosci,890000,marzec_2024
szczecin,blok_mieszkań,42.0,2.0,,wlasnosc_prywatna,,570000,marzec_2024
szczecin,blok_mieszkań,68.61,3.0,1997.0,wlasnosc_prywatna,,599000,marzec_2024
szczecin,blok_mieszkań,80.0,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,1200000,marzec_2024
szczecin,apartamentowiec,66.78,4.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,790000,marzec_2024
szczecin,blok_mieszkań,68.94,3.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,560000,marzec_2024
szczecin,blok_mieszkań,56.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,590000,marzec_2024
szczecin,kamienica,61.48,2.0,1900.0,wlasnosc_prywatna,wysoki_poziom_jakosci,359000,marzec_2024
szczecin,kamienica,95.78,4.0,1945.0,wlasnosc_prywatna,wysoki_poziom_jakosci,649000,marzec_2024
szczecin,blok_mieszkań,55.8,3.0,,wlasnosc_prywatna,,403500,marzec_2024
szczecin,,51.0,2.0,,wlasnosc_prywatna,,320000,marzec_2024
szczecin,blok_mieszkań,63.56,4.0,1976.0,spółdzielnia,,540000,marzec_2024
szczecin,kamienica,77.71,3.0,1925.0,wlasnosc_prywatna,nizki_poziom_jakosci,599000,marzec_2024
szczecin,blok_mieszkań,63.23,3.0,1992.0,spółdzielnia,,535000,marzec_2024
szczecin,blok_mieszkań,54.0,3.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,749000,marzec_2024
szczecin,kamienica,114.08,5.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799000,marzec_2024
szczecin,kamienica,132.21,6.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,795000,marzec_2024
szczecin,blok_mieszkań,54.61,2.0,1995.0,spółdzielnia,nizki_poziom_jakosci,489000,marzec_2024
szczecin,kamienica,46.0,2.0,1960.0,wlasnosc_prywatna,,450000,marzec_2024
szczecin,kamienica,25.08,1.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,340000,marzec_2024
szczecin,blok_mieszkań,62.88,3.0,1980.0,wlasnosc_prywatna,nizki_poziom_jakosci,490000,marzec_2024
szczecin,kamienica,48.84,2.0,1900.0,wlasnosc_prywatna,nizki_poziom_jakosci,369000,marzec_2024
szczecin,blok_mieszkań,55.04,3.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,629000,marzec_2024
szczecin,apartamentowiec,34.61,2.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,480000,marzec_2024
