miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,blok_mieszkań,82.2,4.0,1981.0,wlasnosc_prywatna,,669000,listopad_2023
szczecin,kamienica,73.02,3.0,,wlasnosc_prywatna,,650000,listopad_2023
szczecin,blok_mieszkań,28.13,1.0,1965.0,wlasnosc_prywatna,,319500,listopad_2023
szczecin,blok_mieszkań,68.61,3.0,1997.0,wlasnosc_prywatna,,550000,listopad_2023
szczecin,kamienica,35.92,2.0,,wlasnosc_prywatna,nizki_poziom_jakosci,299000,listopad_2023
szczecin,blok_mieszkań,37.5,2.0,1970.0,spółdzielnia,,429995,listopad_2023
szczecin,apartamentowiec,48.0,2.0,,wlasnosc_prywatna,,550000,listopad_2023
szczecin,blok_mieszkań,81.0,4.0,1989.0,spółdzielnia,wysoki_poziom_jakosci,749000,listopad_2023
szczecin,apartamentowiec,81.0,4.0,2022.0,wlasnosc_prywatna,wysoki_poziom_jakosci,849000,listopad_2023
szczecin,kamienica,89.8,3.0,1930.0,wlasnosc_prywatna,,649000,listopad_2023
szczecin,kamienica,37.36,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,288000,listopad_2023
szczecin,kamienica,94.41,3.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,750000,listopad_2023
szczecin,kamienica,101.0,4.0,1935.0,wlasnosc_prywatna,,519000,listopad_2023
szczecin,blok_mieszkań,42.0,2.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,335000,listopad_2023
szczecin,blok_mieszkań,75.77,3.0,1895.0,wlasnosc_prywatna,wysoki_poziom_jakosci,550000,listopad_2023
szczecin,blok_mieszkań,89.0,5.0,1990.0,spółdzielnia,wysoki_poziom_jakosci,700000,listopad_2023
szczecin,,101.25,4.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,789000,listopad_2023
szczecin,apartamentowiec,79.0,3.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,930000,listopad_2023
szczecin,kamienica,97.2,4.0,1930.0,wlasnosc_prywatna,,720000,listopad_2023
szczecin,,69.09,3.0,,wlasnosc_prywatna,,789000,listopad_2023
szczecin,,43.5,2.0,,wlasnosc_prywatna,,530000,listopad_2023
szczecin,blok_mieszkań,63.14,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,649000,listopad_2023
szczecin,,29.0,1.0,,wlasnosc_prywatna,,329000,listopad_2023
szczecin,blok_mieszkań,49.0,2.0,1980.0,spółdzielnia,nizki_poziom_jakosci,355000,listopad_2023
szczecin,blok_mieszkań,56.58,2.0,2019.0,wlasnosc_prywatna,wysoki_poziom_jakosci,580000,listopad_2023
szczecin,blok_mieszkań,42.74,3.0,1970.0,wlasnosc_prywatna,wysoki_poziom_jakosci,335000,listopad_2023
szczecin,,28.13,1.0,,wlasnosc_prywatna,,319500,listopad_2023
szczecin,kamienica,90.96,5.0,1930.0,wlasnosc_prywatna,,615000,listopad_2023
szczecin,blok_mieszkań,49.0,2.0,1950.0,wlasnosc_prywatna,nizki_poziom_jakosci,448000,listopad_2023
szczecin,blok_mieszkań,47.08,2.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,415000,listopad_2023
