miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,,53.8,2.0,,spółdzielnia,,420000,pazdziernik_2023
szczecin,kamienica,73.02,3.0,,wlasnosc_prywatna,,565000,pazdziernik_2023
szczecin,blok_mieszkań,37.0,2.0,1970.0,spółdzielnia,,429995,pazdziernik_2023
szczecin,apartamentowiec,48.0,2.0,,wlasnosc_prywatna,,550000,pazdziernik_2023
szczecin,apartamentowiec,55.19,2.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,607000,pazdziernik_2023
szczecin,,58.6,2.0,,spółdzielnia,,459000,pazdziernik_2023
szczecin,apartamentowiec,81.0,4.0,2022.0,wlasnosc_prywatna,wysoki_poziom_jakosci,849000,pazdziernik_2023
szczecin,kamienica,56.35,2.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,360000,pazdziernik_2023
szczecin,blok_mieszkań,89.0,5.0,1990.0,spółdzielnia,wysoki_poziom_jakosci,700000,pazdziernik_2023
szczecin,kamienica,97.2,4.0,1930.0,wlasnosc_prywatna,,720000,pazdziernik_2023
szczecin,kamienica,37.36,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,288000,pazdziernik_2023
szczecin,blok_mieszkań,38.14,2.0,,wlasnosc_prywatna,,325000,pazdziernik_2023
szczecin,kamienica,94.41,3.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,750000,pazdziernik_2023
szczecin,blok_mieszkań,54.5,3.0,1967.0,spółdzielnia,nizki_poziom_jakosci,450000,pazdziernik_2023
szczecin,,81.4,3.0,,spółdzielnia,,560000,pazdziernik_2023
szczecin,,130.0,4.0,1997.0,wlasnosc_prywatna,,799000,pazdziernik_2023
szczecin,blok_mieszkań,56.58,2.0,2019.0,wlasnosc_prywatna,wysoki_poziom_jakosci,580000,pazdziernik_2023
szczecin,,70.11,3.0,,wlasnosc_prywatna,,480000,pazdziernik_2023
szczecin,kamienica,59.29,2.0,1900.0,wlasnosc_prywatna,,379000,pazdziernik_2023
szczecin,blok_mieszkań,49.05,2.0,1995.0,spółdzielnia,nizki_poziom_jakosci,415000,pazdziernik_2023
szczecin,blok_mieszkań,47.76,2.0,1970.0,wlasnosc_prywatna,,409000,pazdziernik_2023
szczecin,blok_mieszkań,48.67,2.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,584000,pazdziernik_2023
szczecin,blok_mieszkań,50.0,2.0,1940.0,spółdzielnia,wysoki_poziom_jakosci,520000,pazdziernik_2023
szczecin,apartamentowiec,74.02,3.0,2012.0,wlasnosc_prywatna,wysoki_poziom_jakosci,839000,pazdziernik_2023
szczecin,blok_mieszkań,87.43,3.0,1990.0,spółdzielnia,,649000,pazdziernik_2023
szczecin,kamienica,61.48,2.0,1900.0,wlasnosc_prywatna,wysoki_poziom_jakosci,390000,pazdziernik_2023
szczecin,kamienica,77.71,3.0,1925.0,wlasnosc_prywatna,nizki_poziom_jakosci,550000,pazdziernik_2023
szczecin,blok_mieszkań,63.56,4.0,,wlasnosc_prywatna,,519000,pazdziernik_2023
szczecin,kamienica,33.32,2.0,1920.0,wlasnosc_prywatna,,333000,pazdziernik_2023
szczecin,blok_mieszkań,76.0,3.0,2021.0,wlasnosc_prywatna,wysoki_poziom_jakosci,890000,pazdziernik_2023
szczecin,blok_mieszkań,69.86,3.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799000,pazdziernik_2023
szczecin,kamienica,95.78,4.0,1945.0,wlasnosc_prywatna,wysoki_poziom_jakosci,649000,pazdziernik_2023
szczecin,blok_mieszkań,79.59,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,839000,pazdziernik_2023
szczecin,kamienica,89.57,4.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,810000,pazdziernik_2023
szczecin,blok_mieszkań,60.2,4.0,1970.0,spółdzielnia,,479000,pazdziernik_2023
szczecin,blok_mieszkań,46.24,3.0,1960.0,wlasnosc_prywatna,wysoki_poziom_jakosci,599000,pazdziernik_2023
szczecin,blok_mieszkań,57.0,2.0,2008.0,wlasnosc_prywatna,wysoki_poziom_jakosci,615000,pazdziernik_2023
szczecin,kamienica,130.0,4.0,1938.0,wlasnosc_prywatna,wysoki_poziom_jakosci,999000,pazdziernik_2023
szczecin,kamienica,42.0,2.0,1935.0,wlasnosc_prywatna,wysoki_poziom_jakosci,425000,pazdziernik_2023
szczecin,blok_mieszkań,45.8,2.0,1983.0,wlasnosc_prywatna,wysoki_poziom_jakosci,430000,pazdziernik_2023
szczecin,blok_mieszkań,36.67,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,352000,pazdziernik_2023
szczecin,kamienica,65.0,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,508000,pazdziernik_2023
szczecin,blok_mieszkań,60.44,3.0,1960.0,wlasnosc_prywatna,nizki_poziom_jakosci,508000,pazdziernik_2023
szczecin,blok_mieszkań,105.0,4.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,788000,pazdziernik_2023
szczecin,,80.0,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799000,pazdziernik_2023
szczecin,,38.14,2.0,1975.0,wlasnosc_prywatna,nizki_poziom_jakosci,337000,pazdziernik_2023
szczecin,,57.8,3.0,1972.0,spółdzielnia,,467000,pazdziernik_2023
szczecin,blok_mieszkań,33.0,2.0,2000.0,spółdzielnia,wysoki_poziom_jakosci,394000,pazdziernik_2023
szczecin,blok_mieszkań,51.8,3.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,489999,pazdziernik_2023
szczecin,,71.03,3.0,2015.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799999,pazdziernik_2023
szczecin,kamienica,103.0,4.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799999,pazdziernik_2023
szczecin,blok_mieszkań,77.0,3.0,1906.0,wlasnosc_prywatna,wysoki_poziom_jakosci,599999,pazdziernik_2023
szczecin,kamienica,46.52,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,467000,pazdziernik_2023
szczecin,apartamentowiec,63.14,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,679000,pazdziernik_2023
szczecin,blok_mieszkań,44.6,2.0,1980.0,wlasnosc_prywatna,wysoki_poziom_jakosci,459000,pazdziernik_2023
szczecin,blok_mieszkań,26.3,1.0,1980.0,spółdzielnia,nizki_poziom_jakosci,279000,pazdziernik_2023
szczecin,kamienica,49.7,2.0,1950.0,wlasnosc_prywatna,wysoki_poziom_jakosci,489000,pazdziernik_2023
szczecin,kamienica,94.0,3.0,,wlasnosc_prywatna,nizki_poziom_jakosci,599000,pazdziernik_2023
szczecin,kamienica,44.74,3.0,1935.0,wlasnosc_prywatna,nizki_poziom_jakosci,332000,pazdziernik_2023
szczecin,kamienica,52.85,3.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,369000,pazdziernik_2023
szczecin,blok_mieszkań,59.4,3.0,1980.0,spółdzielnia,nizki_poziom_jakosci,439000,pazdziernik_2023
szczecin,,97.12,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,769000,pazdziernik_2023
szczecin,blok_mieszkań,87.6,4.0,2010.0,wlasnosc_prywatna,nizki_poziom_jakosci,572000,pazdziernik_2023
szczecin,kamienica,101.0,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,559000,pazdziernik_2023
szczecin,blok_mieszkań,63.2,3.0,2000.0,spółdzielnia,wysoki_poziom_jakosci,499000,pazdziernik_2023
szczecin,blok_mieszkań,42.0,2.0,1997.0,wlasnosc_prywatna,,345000,pazdziernik_2023
szczecin,kamienica,104.0,4.0,1930.0,wlasnosc_prywatna,,720000,pazdziernik_2023
szczecin,blok_mieszkań,68.15,3.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,650000,pazdziernik_2023
szczecin,kamienica,101.0,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,559000,pazdziernik_2023
szczecin,,77.86,4.0,1991.0,wlasnosc_prywatna,nizki_poziom_jakosci,480000,pazdziernik_2023
szczecin,blok_mieszkań,54.9,2.0,2001.0,wlasnosc_prywatna,wysoki_poziom_jakosci,530000,pazdziernik_2023
szczecin,blok_mieszkań,38.09,2.0,1964.0,spółdzielnia,nizki_poziom_jakosci,330000,pazdziernik_2023
szczecin,blok_mieszkań,69.0,3.0,1990.0,wlasnosc_prywatna,,600000,pazdziernik_2023
szczecin,blok_mieszkań,47.08,2.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,415000,pazdziernik_2023
szczecin,,65.0,3.0,1989.0,spółdzielnia,,550000,pazdziernik_2023
szczecin,,73.22,3.0,1983.0,spółdzielnia,wysoki_poziom_jakosci,719000,pazdziernik_2023
szczecin,,62.0,3.0,1980.0,spółdzielnia,,490000,pazdziernik_2023
szczecin,blok_mieszkań,56.9,2.0,2012.0,wlasnosc_prywatna,wysoki_poziom_jakosci,599000,pazdziernik_2023
szczecin,blok_mieszkań,57.22,2.0,1997.0,spółdzielnia,,499000,pazdziernik_2023
szczecin,blok_mieszkań,75.0,4.0,1975.0,wlasnosc_prywatna,,647000,pazdziernik_2023
szczecin,blok_mieszkań,63.6,4.0,1973.0,wlasnosc_prywatna,wysoki_poziom_jakosci,546000,pazdziernik_2023
szczecin,blok_mieszkań,47.72,2.0,1985.0,spółdzielnia,wysoki_poziom_jakosci,450000,pazdziernik_2023
szczecin,,33.0,2.0,,wlasnosc_prywatna,,349000,pazdziernik_2023
szczecin,,32.0,1.0,1980.0,spółdzielnia,,285000,pazdziernik_2023
szczecin,,113.0,4.0,,wlasnosc_prywatna,,759000,pazdziernik_2023
szczecin,,129.0,5.0,2007.0,wlasnosc_prywatna,,825000,pazdziernik_2023
szczecin,blok_mieszkań,53.6,2.0,1995.0,spółdzielnia,,470000,pazdziernik_2023
szczecin,kamienica,74.9,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,399000,pazdziernik_2023
szczecin,blok_mieszkań,61.81,3.0,2000.0,spółdzielnia,,569000,pazdziernik_2023
szczecin,kamienica,40.55,2.0,1937.0,wlasnosc_prywatna,wysoki_poziom_jakosci,425000,pazdziernik_2023
szczecin,,30.0,1.0,,spółdzielnia,,315000,pazdziernik_2023
szczecin,kamienica,57.34,2.0,,wlasnosc_prywatna,,367500,pazdziernik_2023
szczecin,blok_mieszkań,77.89,3.0,1991.0,wlasnosc_prywatna,wysoki_poziom_jakosci,635000,pazdziernik_2023
szczecin,blok_mieszkań,63.0,3.0,1950.0,wlasnosc_prywatna,,530000,pazdziernik_2023
szczecin,kamienica,69.08,3.0,1930.0,wlasnosc_prywatna,,565400,pazdziernik_2023
szczecin,,43.5,2.0,,wlasnosc_prywatna,,419000,pazdziernik_2023
szczecin,,75.0,4.0,1930.0,wlasnosc_prywatna,,525000,pazdziernik_2023
szczecin,blok_mieszkań,54.26,2.0,2008.0,wlasnosc_prywatna,wysoki_poziom_jakosci,637000,pazdziernik_2023
szczecin,blok_mieszkań,43.5,2.0,1973.0,spółdzielnia,wysoki_poziom_jakosci,429000,pazdziernik_2023
szczecin,apartamentowiec,42.0,2.0,2023.0,wlasnosc_prywatna,,482000,pazdziernik_2023
szczecin,,29.0,1.0,,wlasnosc_prywatna,,319999,pazdziernik_2023
szczecin,apartamentowiec,79.0,3.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,930000,pazdziernik_2023
szczecin,,52.6,2.0,,spółdzielnia,,485000,pazdziernik_2023
szczecin,blok_mieszkań,86.59,3.0,2011.0,wlasnosc_prywatna,wysoki_poziom_jakosci,690000,pazdziernik_2023
szczecin,blok_mieszkań,34.68,2.0,2003.0,wlasnosc_prywatna,nizki_poziom_jakosci,385000,pazdziernik_2023
szczecin,blok_mieszkań,80.35,3.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,739000,pazdziernik_2023
szczecin,kamienica,114.0,5.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,785000,pazdziernik_2023
szczecin,,53.0,2.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,499000,pazdziernik_2023
szczecin,kamienica,38.69,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,299000,pazdziernik_2023
szczecin,kamienica,86.0,3.0,1940.0,wlasnosc_prywatna,wysoki_poziom_jakosci,579000,pazdziernik_2023
szczecin,,130.0,4.0,,wlasnosc_prywatna,,670000,pazdziernik_2023
szczecin,,142.4,5.0,,wlasnosc_prywatna,,712000,pazdziernik_2023
szczecin,kamienica,46.01,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,290000,pazdziernik_2023
