miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,kamienica,123.45,4.0,,wlasnosc_prywatna,,799000,wrzesien_2023
szczecin,,53.8,2.0,,spółdzielnia,,420000,wrzesien_2023
szczecin,kamienica,50.0,2.0,,wlasnosc_prywatna,,350000,wrzesien_2023
szczecin,blok_mieszkań,55.19,2.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,607000,wrzesien_2023
szczecin,kamienica,73.02,3.0,,wlasnosc_prywatna,,565000,wrzesien_2023
szczecin,kamienica,56.35,2.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,360000,wrzesien_2023
szczecin,blok_mieszkań,55.0,4.0,1980.0,wlasnosc_prywatna,,342000,wrzesien_2023
szczecin,blok_mieszkań,49.5,2.0,1980.0,spółdzielnia,nizki_poziom_jakosci,462000,wrzesien_2023
szczecin,blok_mieszkań,47.76,2.0,1970.0,wlasnosc_prywatna,,399000,wrzesien_2023
szczecin,kamienica,100.2,4.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,549000,wrzesien_2023
szczecin,kamienica,95.78,4.0,1945.0,wlasnosc_prywatna,wysoki_poziom_jakosci,649000,wrzesien_2023
szczecin,,42.43,2.0,,wlasnosc_prywatna,,500000,wrzesien_2023
szczecin,blok_mieszkań,50.0,2.0,1940.0,spółdzielnia,wysoki_poziom_jakosci,520000,wrzesien_2023
szczecin,,50.0,2.0,,wlasnosc_prywatna,,559000,wrzesien_2023
szczecin,apartamentowiec,74.02,3.0,2012.0,wlasnosc_prywatna,wysoki_poziom_jakosci,839000,wrzesien_2023
szczecin,blok_mieszkań,49.38,2.0,1985.0,wlasnosc_prywatna,nizki_poziom_jakosci,397000,wrzesien_2023
szczecin,blok_mieszkań,87.43,3.0,1990.0,spółdzielnia,,649000,wrzesien_2023
szczecin,kamienica,61.48,2.0,1900.0,wlasnosc_prywatna,wysoki_poziom_jakosci,390000,wrzesien_2023
szczecin,blok_mieszkań,33.86,2.0,1970.0,spółdzielnia,,314000,wrzesien_2023
szczecin,kamienica,87.6,3.0,,wlasnosc_prywatna,,640000,wrzesien_2023
szczecin,kamienica,77.71,3.0,1925.0,wlasnosc_prywatna,nizki_poziom_jakosci,550000,wrzesien_2023
szczecin,apartamentowiec,60.08,2.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,629000,wrzesien_2023
szczecin,kamienica,33.32,2.0,1920.0,wlasnosc_prywatna,,329000,wrzesien_2023
szczecin,blok_mieszkań,46.6,2.0,1970.0,spółdzielnia,wysoki_poziom_jakosci,399000,wrzesien_2023
szczecin,blok_mieszkań,51.54,2.0,2004.0,spółdzielnia,,499000,wrzesien_2023
szczecin,blok_mieszkań,69.86,3.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,835000,wrzesien_2023
szczecin,blok_mieszkań,58.63,3.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,615615,wrzesien_2023
szczecin,blok_mieszkań,44.6,2.0,2016.0,wlasnosc_prywatna,wysoki_poziom_jakosci,475000,wrzesien_2023
szczecin,blok_mieszkań,79.59,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,860000,wrzesien_2023
szczecin,kamienica,89.57,4.0,1930.0,wlasnosc_prywatna,wysoki_poziom_jakosci,810000,wrzesien_2023
szczecin,,58.89,3.0,,spółdzielnia,,450000,wrzesien_2023
szczecin,,58.6,2.0,,spółdzielnia,,459000,wrzesien_2023
szczecin,blok_mieszkań,60.2,4.0,1970.0,spółdzielnia,,479000,wrzesien_2023
szczecin,apartamentowiec,60.63,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,760000,wrzesien_2023
szczecin,blok_mieszkań,53.2,3.0,1968.0,spółdzielnia,nizki_poziom_jakosci,375000,wrzesien_2023
szczecin,,42.68,2.0,1960.0,wlasnosc_prywatna,nizki_poziom_jakosci,350000,wrzesien_2023
szczecin,blok_mieszkań,59.4,3.0,1985.0,wlasnosc_prywatna,,539000,wrzesien_2023
szczecin,blok_mieszkań,35.1,2.0,2001.0,wlasnosc_prywatna,,361000,wrzesien_2023
szczecin,blok_mieszkań,65.65,3.0,2012.0,wlasnosc_prywatna,wysoki_poziom_jakosci,729000,wrzesien_2023
szczecin,kamienica,26.5,1.0,1960.0,wlasnosc_prywatna,wysoki_poziom_jakosci,265000,wrzesien_2023
szczecin,kamienica,32.1,2.0,1940.0,wlasnosc_prywatna,wysoki_poziom_jakosci,325000,wrzesien_2023
szczecin,apartamentowiec,62.55,3.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,759000,wrzesien_2023
szczecin,kamienica,61.45,2.0,1900.0,wlasnosc_prywatna,,575000,wrzesien_2023
szczecin,,76.0,3.0,1980.0,wlasnosc_prywatna,,496000,wrzesien_2023
szczecin,blok_mieszkań,55.0,3.0,1970.0,wlasnosc_prywatna,,520000,wrzesien_2023
szczecin,,30.4,2.0,2000.0,wlasnosc_prywatna,wysoki_poziom_jakosci,335000,wrzesien_2023
szczecin,blok_mieszkań,48.0,2.0,1940.0,wlasnosc_prywatna,wysoki_poziom_jakosci,449000,wrzesien_2023
szczecin,kamienica,91.03,3.0,1930.0,wlasnosc_prywatna,,719000,wrzesien_2023
szczecin,blok_mieszkań,37.0,2.0,1970.0,spółdzielnia,nizki_poziom_jakosci,299000,wrzesien_2023
szczecin,blok_mieszkań,83.98,4.0,2002.0,wlasnosc_prywatna,wysoki_poziom_jakosci,529000,wrzesien_2023
szczecin,blok_mieszkań,60.1,3.0,1975.0,wlasnosc_prywatna,wysoki_poziom_jakosci,495000,wrzesien_2023
szczecin,blok_mieszkań,42.0,2.0,1980.0,wlasnosc_prywatna,wysoki_poziom_jakosci,410000,wrzesien_2023
szczecin,blok_mieszkań,54.9,2.0,2001.0,wlasnosc_prywatna,,539000,wrzesien_2023
szczecin,kamienica,63.7,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,379000,wrzesien_2023
szczecin,blok_mieszkań,57.0,2.0,1990.0,spółdzielnia,wysoki_poziom_jakosci,499000,wrzesien_2023
szczecin,kamienica,110.0,5.0,1945.0,wlasnosc_prywatna,,600000,wrzesien_2023
szczecin,blok_mieszkań,77.0,4.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,788000,wrzesien_2023
szczecin,kamienica,54.0,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,349000,wrzesien_2023
szczecin,,30.0,1.0,1970.0,wlasnosc_prywatna,nizki_poziom_jakosci,274000,wrzesien_2023
szczecin,blok_mieszkań,105.0,4.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,788000,wrzesien_2023
szczecin,kamienica,47.18,2.0,1935.0,wlasnosc_prywatna,,449000,wrzesien_2023
szczecin,blok_mieszkań,83.34,4.0,1986.0,spółdzielnia,,580000,wrzesien_2023
szczecin,blok_mieszkań,92.2,5.0,1993.0,wlasnosc_prywatna,,589000,wrzesien_2023
szczecin,blok_mieszkań,64.14,3.0,1957.0,wlasnosc_prywatna,nizki_poziom_jakosci,549000,wrzesien_2023
szczecin,blok_mieszkań,58.46,3.0,1910.0,wlasnosc_prywatna,nizki_poziom_jakosci,299000,wrzesien_2023
szczecin,,80.0,3.0,2017.0,wlasnosc_prywatna,wysoki_poziom_jakosci,799999,wrzesien_2023
szczecin,,38.14,2.0,1975.0,wlasnosc_prywatna,nizki_poziom_jakosci,337000,wrzesien_2023
szczecin,,57.8,3.0,1972.0,spółdzielnia,,467000,wrzesien_2023
szczecin,,56.0,4.0,1971.0,spółdzielnia,,440000,wrzesien_2023
szczecin,blok_mieszkań,48.67,2.0,2020.0,wlasnosc_prywatna,wysoki_poziom_jakosci,584000,wrzesien_2023
szczecin,blok_mieszkań,60.31,2.0,1970.0,wlasnosc_prywatna,wysoki_poziom_jakosci,780000,wrzesien_2023
szczecin,blok_mieszkań,35.6,2.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,349999,wrzesien_2023
szczecin,blok_mieszkań,45.0,2.0,1975.0,wlasnosc_prywatna,,385000,wrzesien_2023
szczecin,,113.0,4.0,,wlasnosc_prywatna,,780000,wrzesien_2023
szczecin,blok_mieszkań,64.8,3.0,1980.0,wlasnosc_prywatna,nizki_poziom_jakosci,399000,wrzesien_2023
szczecin,blok_mieszkań,64.5,3.0,2000.0,spółdzielnia,wysoki_poziom_jakosci,585000,wrzesien_2023
szczecin,kamienica,63.96,3.0,1925.0,wlasnosc_prywatna,,540000,wrzesien_2023
szczecin,,46.13,2.0,1938.0,wlasnosc_prywatna,nizki_poziom_jakosci,290000,wrzesien_2023
szczecin,blok_mieszkań,55.0,3.0,1980.0,spółdzielnia,,469000,wrzesien_2023
szczecin,blok_mieszkań,33.0,2.0,2000.0,spółdzielnia,wysoki_poziom_jakosci,394000,wrzesien_2023
szczecin,,78.56,4.0,,wlasnosc_prywatna,,360000,wrzesien_2023
szczecin,blok_mieszkań,38.14,2.0,1976.0,spółdzielnia,,375000,wrzesien_2023
szczecin,kamienica,84.0,3.0,1932.0,wlasnosc_prywatna,,560000,wrzesien_2023
szczecin,blok_mieszkań,51.06,2.0,1960.0,wlasnosc_prywatna,nizki_poziom_jakosci,469000,wrzesien_2023
szczecin,kamienica,46.13,2.0,1938.0,wlasnosc_prywatna,,290000,wrzesien_2023
szczecin,blok_mieszkań,82.0,4.0,1960.0,wlasnosc_prywatna,,659000,wrzesien_2023
szczecin,kamienica,129.5,5.0,1920.0,wlasnosc_prywatna,,790000,wrzesien_2023
szczecin,blok_mieszkań,51.8,3.0,1980.0,spółdzielnia,wysoki_poziom_jakosci,485000,wrzesien_2023
szczecin,blok_mieszkań,77.93,4.0,2010.0,wlasnosc_prywatna,wysoki_poziom_jakosci,850000,wrzesien_2023
szczecin,blok_mieszkań,48.0,3.0,1970.0,spółdzielnia,,419000,wrzesien_2023
szczecin,blok_mieszkań,46.82,2.0,2019.0,wlasnosc_prywatna,wysoki_poziom_jakosci,540000,wrzesien_2023
szczecin,blok_mieszkań,56.8,3.0,1981.0,spółdzielnia,wysoki_poziom_jakosci,449208,wrzesien_2023
szczecin,,43.0,2.0,,wlasnosc_prywatna,,365000,wrzesien_2023
szczecin,blok_mieszkań,51.1,3.0,2007.0,spółdzielnia,wysoki_poziom_jakosci,590000,wrzesien_2023
szczecin,blok_mieszkań,55.0,2.0,1997.0,wlasnosc_prywatna,nizki_poziom_jakosci,325000,wrzesien_2023
szczecin,,145.14,6.0,,wlasnosc_prywatna,,649000,wrzesien_2023
